"Jeollabuk-do","65 Years old",289584,112958,176626,64.00
"Jeollabuk-do","Mean age",40.4,38.5,42.2,-
"Jeollabuk-do","Median age",40.5,38.7,42.4,-
"Jeollanam-do","Total",1728749,845952,882797,95.80
"Jeollanam-do","0-4 Years old",73548,37787,35761,105.70
"Jeollanam-do","5-9 Years old",84525,43872,40653,107.90
"Jeollanam-do","10-14 Years old",118040,61164,56876,107.50
"Jeollanam-do","15-19 Years old",115014,61450,53564,114.70
"Jeollanam-do","20-24 Years old",74938,43959,30979,141.90
"Jeollanam-do","25-29 Years old",85461,45280,40181,112.70
"Jeollanam-do","30-34 Years old",98140,50228,47912,104.80
"Jeollanam-do","35-39 Years old",119167,61336,57831,106.10
"Jeollanam-do","40-44 Years old",129597,68245,61352,111.20
"Jeollanam-do","45-49 Years old",133735,69084,64651,106.90
"Jeollanam-do","50-54 Years old",132614,66675,65939,101.10
"Jeollanam-do","55-59 Years old",107133,52726,54407,96.90
"Jeollanam-do","60-64 Years old",103877,49694,54183,91.70
"Jeollanam-do","65-69 Years old",98508,43161,55347,78.00
"Jeollanam-do","70-74 Years old",103309,42200,61109,69.10
"Jeollanam-do","75-79 Years old",78558,28260,50298,56.20
"Jeollanam-do","80-84 Years old",45139,14065,31074,45.30
"Jeollanam-do","85 Years old & over",27446,6766,20680,32.70
"Jeollanam-do","14 and under",276113,142823,133290,107.20
"Jeollanam-do","15 - 64 Years old",1099676,568677,530999,107.10
"Jeollanam-do","65 Years old",352960,134452,218508,61.50
"Jeollanam-do","Mean age",42.7,40.4,44.9,-
"Jeollanam-do","Median age",43.6,41.3,46.3,-
"Gyeongsangbuk-do","Total",2575370,1281510,1293860,99.00
"Gyeongsangbuk-do","0-4 Years old",109013,56382,52631,107.10
"Gyeongsangbuk-do","5-9 Years old",118013,62075,55938,111.00
"Gyeongsangbuk-do","10-14 Years old",158166,83447,74719,111.70
"Gyeongsangbuk-do","15-19 Years old",176765,97020,79745,121.70
"Gyeongsangbuk-do","20-24 Years old",151822,86895,64927,133.80
"Gyeongsangbuk-do","25-29 Years old",159212,85347,73865,115.50
"Gyeongsangbuk-do","30-34 Years old",167811,87030,80781,107.70
"Gyeongsangbuk-do","35-39 Years old",190804,97307,93497,104.10
"Gyeongsangbuk-do","40-44 Years old",200609,103179,97430,105.90
"Gyeongsangbuk-do","45-49 Years old",206740,105629,101111,104.50
"Gyeongsangbuk-do","50-54 Years old",203823,102221,101602,100.60
"Gyeongsangbuk-do","55-59 Years old",165679,80942,84737,95.50
"Gyeongsangbuk-do","60-64 Years old",136430,66396,70034,94.80
"Gyeongsangbuk-do","65-69 Years old",124673,54681,69992,78.10
"Gyeongsangbuk-do","70-74 Years old",126234,52370,73864,70.90
"Gyeongsangbuk-do","75-79 Years old",94660,35228,59432,59.30
"Gyeongsangbuk-do","80-84 Years old",52621,16699,35922,46.50
"Gyeongsangbuk-do","85 Years old & over",32295,8662,23633,36.70
"Gyeongsangbuk-do","14 and under",385192,201904,183288,110.20
"Gyeongsangbuk-do","15 - 64 Years old",1759695,911966,847729,107.60
"Gyeongsangbuk-do","65 Years old",430483,167640,262843,63.80
"Gyeongsangbuk-do","Mean age",41.1,39.1,43.1,-
"Gyeongsangbuk-do","Median age",41.3,39.3,43.5,-
"Gyeongsangnam-do","Total",3119571,1562686,1556885,100.40
"Gyeongsangnam-do","0-4 Years old",154821,79917,74904,106.70
"Gyeongsangnam-do","5-9 Years old",163631,85931,77700,110.60
"Gyeongsangnam-do","10-14 Years old",218418,114998,103420,111.20
"Gyeongsangnam-do","15-19 Years old",217353,118993,98360,121.00
"Gyeongsangnam-do","20-24 Years old",163021,93679,69342,135.10
"Gyeongsangnam-do","25-29 Years old",202144,106906,95238,112.30
"Gyeongsangnam-do","30-34 Years old",229358,118136,111222,106.20
"Gyeongsangnam-do","35-39 Years old",264987,134289,130698,102.70
"Gyeongsangnam-do","40-44 Years old",275367,140021,135346,103.50
"Gyeongsangnam-do","45-49 Years old",266282,136302,129980,104.90
"Gyeongsangnam-do","50-54 Years old",247848,126040,121808,103.50
"Gyeongsangnam-do","55-59 Years old",182499,90750,91749,98.90
"Gyeongsangnam-do","60-64 Years old",142494,69053,73441,94.00
"Gyeongsangnam-do","65-69 Years old",120836,52895,67941,77.90
"Gyeongsangnam-do","70-74 Years old",113515,45339,68176,66.50
"Gyeongsangnam-do","75-79 Years old",84425,29549,54876,53.80
"Gyeongsangnam-do","80-84 Years old",46663,13655,33008,41.40
"Gyeongsangnam-do","85 Years old & over",25909,6233,19676,31.70
"Gyeongsangnam-do","14 and under",536870,280846,256024,109.70
"Gyeongsangnam-do","15 - 64 Years old",2191353,1134169,1057184,107.30
"Gyeongsangnam-do","65 Years old",391348,147671,243677,60.60
"Gyeongsangnam-do","Mean age",38.6,36.9,40.4,-
"Gyeongsangnam-do","Median age",39.0,37.5,40.6,-
"Jeju-do","Total",528411,261521,266890,98.00
"Jeju-do","0-4 Years old",27824,14329,13495,106.20
"Jeju-do","5-9 Years old",31856,16843,15013,112.20
"Jeju-do","10-14 Years old",41164,21446,19718,108.80
"Jeju-do","15-19 Years old",39164,20588,18576,110.80
"Jeju-do","20-24 Years old",27731,15147,12584,120.40
"Jeju-do","25-29 Years old",32113,16232,15881,102.20
"Jeju-do","30-34 Years old",35691,18085,17606,102.70
"Jeju-do","35-39 Years old",45047,22516,22531,99.90
"Jeju-do","40-44 Years old",46681,23868,22813,104.60
"Jeju-do","45-49 Years old",43278,22144,21134,104.80
"Jeju-do","50-54 Years old",38485,19501,18984,102.70
"Jeju-do","55-59 Years old",27406,13574,13832,98.10
"Jeju-do","60-64 Years old",24163,11737,12426,94.50
"Jeju-do","65-69 Years old",21156,9817,11339,86.60
"Jeju-do","70-74 Years old",18775,7941,10834,73.30
"Jeju-do","75-79 Years old",14065,4971,9094,54.70
"Jeju-do","80-84 Years old",7430,1775,5655,31.40
"Jeju-do","85 Years old & over",6382,1007,5375,18.70
