"city","year","pollutant","category","days"
"Seoul",2014,"no2","Moderate",79
"Seoul",2014,"o3","Good",342
"Seoul",2014,"o3","Moderate",20
"Seoul",2014,"pm10","Good",215
"Seoul",2014,"pm10","Moderate",139
"Seoul",2014,"pm10","Unhealthy for Sensitive Groups",7
"Seoul",2014,"pm25","Good",31
"Seoul",2014,"pm25","Moderate",88
"Seoul",2014,"pm25","Unhealthy for Sensitive Groups",29
"Seoul",2014,"pm25","Unhealthy",1
"Seoul",2014,"so2","Good",362
"Seoul",2015,"co","Good",364
"Seoul",2015,"no2","Good",298
"Seoul",2015,"no2","Moderate",66
"Seoul",2015,"o3","Good",350
"Seoul",2015,"o3","Moderate",14
"Seoul",2015,"pm10","Good",242
"Seoul",2015,"pm10","Moderate",116
"Seoul",2015,"pm10","Unhealthy for Sensitive Groups",4
"Seoul",2015,"pm10","Very Unhealthy",1
"Seoul",2015,"pm10","Hazardous",1
"Seoul",2015,"pm25","Good",44
"Seoul",2015,"pm25","Moderate",228
"Seoul",2015,"pm25","Unhealthy for Sensitive Groups",81
"Seoul",2015,"pm25","Unhealthy",11
"Seoul",2015,"so2","Good",364
"Seoul",2016,"co","Good",363
"Seoul",2016,"no2","Good",312
"Seoul",2016,"no2","Moderate",51
"Seoul",2016,"o3","Good",345
"Seoul",2016,"o3","Moderate",18
"Seoul",2016,"pm10","Good",198
"Seoul",2016,"pm10","Moderate",162
"Seoul",2016,"pm10","Unhealthy for Sensitive Groups",3
"Seoul",2016,"pm25","Good",28
"Seoul",2016,"pm25","Moderate",210
"Seoul",2016,"pm25","Unhealthy for Sensitive Groups",113
"Seoul",2016,"pm25","Unhealthy",11
"Seoul",2016,"so2","Good",363
"Seoul",2017,"co","Good",304
"Seoul",2017,"no2","Good",261
"Seoul",2017,"no2","Moderate",42
"Seoul",2017,"o3","Good",283
"Seoul",2017,"o3","Moderate",21
"Seoul",2017,"pm10","Good",173
"Seoul",2017,"pm10","Moderate",127
"Seoul",2017,"pm10","Unhealthy for Sensitive Groups",4
"Seoul",2017,"pm25","Good",31
"Seoul",2017,"pm25","Moderate",179
"Seoul",2017,"pm25","Unhealthy for Sensitive Groups",77
"Seoul",2017,"pm25","Unhealthy",17
"Seoul",2017,"so2","Good",304
"Seoul",2018,"co","Good",364
"Seoul",2018,"no2","Good",330
"Seoul",2018,"no2","Moderate",32
"Seoul",2018,"o3","Good",339
"Seoul",2018,"o3","Moderate",25
"Seoul",2018,"pm10","Good",239
"Seoul",2018,"pm10","Moderate",124
"Seoul",2018,"pm10","Unhealthy for Sensitive Groups",1
"Seoul",2018,"pm25","Good",88
"Seoul",2018,"pm25","Moderate",167
"Seoul",2018,"pm25","Unhealthy for Sensitive Groups",92
"Seoul",2018,"pm25","Unhealthy",18
"Seoul",2018,"so2","Good",364
"Seoul",2019,"co","Good",363
"Seoul",2019,"no2","Good",323
"Seoul",2019,"no2","Moderate",37
"Seoul",2019,"o3","Good",335
